date,state,fips,cases,deaths,points,isolation,c_increase,d_increase
3/10/2020,Michigan,26,2,0,1,0,0,0
3/11/2020,Michigan,26,2,0,2,0,0,0
3/12/2020,Michigan,26,12,0,3,0,10,0
3/13/2020,Michigan,26,25,0,4,0,13,0
3/14/2020,Michigan,26,33,0,5,0,8,0
3/15/2020,Michigan,26,53,0,6,0,20,0
3/16/2020,Michigan,26,54,0,7,0,1,0
3/17/2020,Michigan,26,65,0,8,0,11,0
3/18/2020,Michigan,26,80,1,9,0,15,1
3/19/2020,Michigan,26,334,3,10,0,254,2
3/20/2020,Michigan,26,548,4,11,0,214,1
3/21/2020,Michigan,26,787,6,12,0,239,2
3/22/2020,Michigan,26,1033,9,13,0,246,3
3/23/2020,Michigan,26,1324,16,14,0,291,7
3/24/2020,Michigan,26,1791,24,15,1,467,8
3/25/2020,Michigan,26,2294,43,16,1,503,19
3/26/2020,Michigan,26,2878,63,17,1,584,20
3/27/2020,Michigan,26,3657,93,18,1,779,30
3/28/2020,Michigan,26,4635,111,19,1,978,18
3/29/2020,Michigan,26,5486,132,20,1,851,21
3/30/2020,Michigan,26,6508,197,21,1,1022,65
3/31/2020,Michigan,26,7630,264,22,1,1122,67
4/1/2020,Michigan,26,9293,336,23,1,1663,72
4/2/2020,Michigan,26,10791,417,24,1,1498,81
4/3/2020,Michigan,26,12670,478,25,1,1879,61
4/4/2020,Michigan,26,14225,540,26,1,1555,62
4/5/2020,Michigan,26,15635,616,27,1,1410,76
4/6/2020,Michigan,26,17130,727,28,1,1495,111
4/7/2020,Michigan,26,18852,845,29,1,1722,118
4/8/2020,Michigan,26,20220,959,30,1,1368,114
4/9/2020,Michigan,26,21375,1076,31,1,1155,117
4/10/2020,Michigan,26,22646,1280,32,1,1271,204
4/11/2020,Michigan,26,23853,1391,33,1,1207,110
4/12/2020,Michigan,26,24494,1486,34,1,641,96
